Phenotype:,Hemoglobin A1c,Mean arterial pressure,Body mass index,Heart rate,Oxygen saturation,Hemoglobin total,Poor (N=223),Fair (N=969),Very good (N=79),Excellent (N=132),Cough (N=413),Diarrhea (N=85),Bristol stool scale,Diabetes (N=40),Allergies (N=124),Heart disease (N=59),Asthma (N=62),Stomach illness (N=261),Intestinal illness (N=103),Arthritis (N=43),Painkillers (N=1184),Antibiotics (N=242),Anti-diarrheal (N=60),Anti-parasitic (N=49),Anti-fungal (N=41),Vitamins (N=335),Anti-hypertensive (N=82),Reserved (N=1666),Nervous (N=950),Openness (N=1550),Cognitive impairment (N=100),Dementia (N=185),Alcohol daily frequency,Cigarette usage (N=82),Cigarette frequency,Mild anxiety (N=395),Moderate anxiety (N=123),Severe anxiety (N=59),Mild depression (N=469),Moderate depression (N=138),Severe depression (N=89),Cat (N=960),Dog (N=1384),Parakeet (N=157),No pets (N=220),Cow (N=535),Goat (N=63),Pig (N=269),Chicken (N=1664),Duck (N=636),Turkey (N=413),Sheep (N=51),Geese (N=82),Horse (N=468),Rabbit (N=176),No farm animals (N=171),Mice (N=820),Bat (N=546),Lizard (N=534),Snake (N=546),Bird (N=660),Possum (N=588),Rat (N=590),Squirrel (N=51),No wild animals (N=591),Beans,Tortillas,Rice,Bread,Milk,Yogurt,Cream/butter,Cheese,Eggs,Vegetables,Fruits,Natural juice,Chicken,Beef/pork,Ham/sausages/hotdog,Fish,Diet diversity score,Number of partners,Living with partner (N=1232),Grades 1-3 (N=920),Grades 4-6 (N=528),Grades >6 (N=129),Friend ties (same building),Friend ties (different building),Betweeness (friendship),Transitivity (friendship),Family ties (same building),Family ties (different building),Transitivity (familial),Betweeness (familial),Degree (all ties),Clustering coefficient(all ties),Betweeness(all ties),Kin percentage (to third degree),Altruism,Risk taking,Washing hands (N=1603),Distance to village center,Distance to main road,Number of churches,Altitude,Travel,Monthly expenditure,Household size,Household wealth index,TV (N=958),No electronics (N=89),Earth/Sand floor (N=594),Ceramic floor (N=151),Glass windows (N=86),Unfinished windows (N=59),Clay/mud walls (N=1256),Cement walls (N=402),Concrete roof (N=37),Sleeping rooms,Spring(protected) (N=1441),Tube well (N=91),Dug well(protected) (N=93)
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_A|t__SGB1626,0.142446332,0.6778576,0.473774337,0.848327425,0.453092265,0.2256875,0.895468103,0.79090907,0.911470343,0.69633551,0.996392405,0.133827529,0.181385331,0.792297453,0.663861369,0.067705763,0.949947617,0.619787643,0.851036077,0.970906525,0.882304786,0.47319835,0.218690344,0.212845906,0.568060707,0.420537617,0.332638986,0.680383823,0.626476865,0.142849077,0.770319315,0.959921049,0.395707424,0.558276544,0.621898769,0.143936718,0.507819702,0.613097279,0.434191867,0.47826457,0.728338015,0.849488191,0.836116235,0.029453534,0.559992843,0.585697493,0.765553946,0.174394001,0.232548132,0.049941263,0.533788752,0.457360441,0.594663249,0.792694027,0.189803912,0.37597286,0.002721716,0.290255077,0.895351961,0.907630796,0.109841589,0.902986978,0.017628667,0.05642843,0.563900595,0.694028875,0.929607879,0.305343918,0.427304856,0.767769926,0.027032759,0.53591862,0.60835255,0.829863953,0.055501684,0.535645248,0.090688038,0.328432796,0.713979713,0.928840213,0.923401535,0.680460273,0.242122538,0.282810148,0.415805912,0.005146992,0.001303876,0.275668896,0.317134519,0.693026259,0.718161661,0.562498676,0.584397129,0.18779465,0.739168468,0.167324816,0.049215257,0.175301173,0.511104758,0.984884596,0.326689506,0.113825565,0.085694487,0.882670069,0.274211544,0.620355361,0.85416681,0.136724319,0.306471149,0.043659912,0.022494096,0.746419453,0.175552144,0.425998717,0.139757821,0.124269753,0.422126537,0.44955907,0.026923267,0.370678484,0.647006931,0.685511722,0.632957626
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_B|t__SGB1613,0.405225555,0.233750247,0.677882313,0.112743153,0.384764474,0.332057692,0.581636827,0.686515081,0.789462632,0.879042362,0.866089387,0.913167965,0.220049479,0.830016292,0.007349726,0.869234585,0.775753686,0.141646652,0.122193429,0.648473538,0.770914275,0.450974221,0.902635996,0.03971272,0.926644176,0.569791801,0.080582754,0.12481609,0.836544875,0.03161718,0.916639888,0.075225413,0.316858288,0.198198053,0.558268144,0.839632559,0.33335068,0.940218025,0.789550421,0.468383362,0.912158265,0.664326799,0.888199338,0.066643416,0.505798168,0.935576873,0.995440024,0.429702743,0.136977466,0.002051773,0.410680649,0.62130056,0.67896398,0.771065442,0.956374664,0.029610297,0.656510428,0.713702091,0.73562529,0.874721582,0.521609769,0.93542209,0.353031533,0.451511463,0.467538264,0.216143775,0.515532325,0.957399428,0.936994078,0.875349255,0.00033502,0.748130563,0.040702078,0.446363772,3.04E-05,0.004962073,0.003983399,0.109074361,0.002568778,0.323697779,0.013671,0.19765168,0.044411896,0.848423914,0.509501022,0.495492091,0.018473642,0.506040327,0.813591082,0.11102904,0.152608006,0.467707316,0.489137319,0.494586254,0.922819673,0.816256033,0.287546303,0.082262479,0.125995117,0.997114139,0.182970959,0.516292808,0.146673742,0.929209304,0.075273278,0.879103853,0.809551323,0.18434954,0.085155627,3.44E-12,0.000101438,0.002778547,2.39E-07,0.013802677,0.000259009,0.634391007,0.247793326,0.009451188,0.003837039,0.003416914,0.08740494,0.040120613,0.746429057
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_D|t__SGB1636_group,0.528754811,0.589686105,0.913853519,0.872496645,0.054526327,0.427855702,0.797974198,0.102063184,0.549268601,0.263307682,0.49550044,0.884741817,0.700219509,0.721038206,0.001392841,0.398991803,0.42877022,0.327027688,0.105844555,0.715199933,0.050477093,0.743902121,0.615926704,0.018771357,0.804757969,0.377311336,0.10838211,0.608192037,0.333572321,0.006651202,0.508084941,0.029014912,0.725627537,0.613073305,0.110964861,0.12899619,0.467858976,0.112876748,0.803111522,0.67532434,0.918548725,0.539710863,0.705118915,0.158969389,0.930685793,0.969165675,0.322107513,0.03409506,0.220956375,0.007805113,0.066587332,0.900079601,0.768490582,0.116397023,0.860995912,0.253885898,0.970244131,0.162502093,0.519104464,0.32514514,0.186697232,0.208310466,0.253808718,0.024359423,0.019367956,0.075592302,0.000481496,0.149743296,0.765810602,0.012137826,0.004900627,0.042067269,0.019544492,0.882341008,1.10E-07,0.02377879,0.001875579,0.014403753,0.01117588,0.323402462,0.248580355,0.013444027,0.776230816,0.86120381,0.041608633,0.065687493,0.195489331,0.211449885,0.334951234,0.112126168,0.756034723,0.311425126,0.675116148,0.808754048,0.750254076,0.383712005,0.3811813,0.009122254,0.170784567,0.598897785,0.715855618,0.275454716,0.96959023,0.936678298,0.494603461,0.429413695,0.387077937,0.002098391,0.000472378,1.04E-14,1.54E-08,0.002099798,6.13E-07,0.001696452,2.68E-06,0.776051116,0.018728417,0.00178228,0.241968557,0.012414706,0.845069173,0.617309271,0.949410356
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_C|t__SGB1644,0.120000292,0.382028693,0.455304178,0.897984624,0.186814308,0.281751263,0.872971706,0.518333641,0.759177177,0.420472793,0.824788255,0.773325697,0.789388524,0.732831806,0.008588937,0.544503781,0.957305674,0.728655216,0.258134969,0.538813609,0.051012887,0.142316165,0.267760158,0.712959335,0.999987662,0.900762211,0.365063367,0.648936654,0.277214613,0.002445841,0.768514699,0.13223854,0.705117187,0.311276662,0.810839676,0.891758307,0.540306359,0.760905959,0.946982204,0.607531477,0.254352397,0.342640711,0.241204326,0.004581119,0.992363591,0.125931118,0.632971938,0.110956178,0.094083227,0.538105683,0.871600809,0.448781495,0.141731032,0.897733247,0.779865215,0.114831717,0.68406546,0.534961587,0.457041837,0.557292199,0.468196064,0.504553627,0.938979346,0.49666604,0.652291627,0.198464887,0.008935583,0.772305014,0.706070476,0.301957061,0.000460977,0.012923214,0.000530515,0.826509648,0.000200796,0.007535601,0.000174802,0.099916269,0.002912971,0.679939082,0.149392768,0.26102715,0.340994765,0.583625878,0.548871916,0.500051606,0.023890869,0.869280523,0.206727123,0.16032192,0.352851627,0.170527246,0.621838652,0.621764405,0.286192441,0.701368887,0.323270069,0.024419927,0.204088008,0.103123898,0.455639114,0.675691569,0.875349217,0.874791898,0.148195949,0.631021947,0.19516626,0.00013677,0.21637667,2.57E-12,4.27E-05,0.014541021,1.05E-05,0.045699738,3.19E-05,0.957768197,0.000246287,9.27E-05,0.004664868,1.49E-05,0.050748445,0.472650402,0.211389649
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_hominis|t__SGB1617_group,0.459071218,0.916194875,0.986081526,0.317011564,0.364582311,0.078645803,0.961397066,0.211378556,0.330943086,0.877070919,0.877229333,0.914964289,0.91635607,0.943670546,0.000145335,0.995811575,0.561844514,0.191248987,0.011385355,0.606809372,0.2987251,0.246417651,0.706916602,0.158312392,0.420900012,0.476074303,0.174742057,0.313660109,0.024184465,0.002740869,0.463335292,0.000467442,0.91665511,0.607164366,0.80727325,0.560451929,0.989735478,0.970297361,0.744025055,0.603453503,0.678519465,0.211323014,0.87104295,0.197901816,0.365181139,0.69361568,0.603030382,0.165616189,0.071011971,0.372176279,0.953380732,0.711355979,0.912647756,0.837337204,0.927193729,0.06160535,0.6344267,0.291813424,0.424466898,0.346044471,0.369484104,0.123996533,0.249040971,0.136062089,0.053685286,0.000286428,0.087814972,0.685333166,0.464184904,0.075515308,0.029523192,0.073132903,0.030146914,0.236660547,1.02E-05,0.000108343,0.097215022,0.013456098,0.005667025,0.21161872,0.177386018,0.230144256,0.198152789,0.713439339,0.194808521,0.2016591,0.141712778,0.737036017,0.009023954,0.474483495,0.295003013,0.273975393,0.865982196,0.948039657,0.230487053,0.251882986,0.374235188,0.006666635,0.151772394,0.954710603,0.091414365,0.538471256,0.770575595,0.736964042,0.158903954,0.519446513,0.15803568,0.002548627,0.003677025,2.08E-16,3.40E-06,0.002043706,7.96E-07,0.000204528,0.015244019,0.34048728,0.000287911,0.000102838,0.162178514,0.000466362,0.036241587,0.050401358,0.954761402
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1267|s__GGB1267_SGB1701|t__SGB1701,0.956662928,0.732311808,0.160991365,0.136556238,0.167956588,0.323407955,0.893954537,0.558055733,0.137840706,0.680253658,0.544896712,0.345556792,0.819470277,0.870694221,0.006881656,0.282697761,0.725391552,0.012979466,0.026568752,0.964150763,0.043325157,0.130699034,0.692831065,0.516925526,0.496634806,0.175644761,0.599238047,0.303719157,0.381710759,0.012185182,0.933638482,0.048916508,0.85200965,0.258650913,0.45280275,0.892495688,0.971956279,0.48088152,0.35506418,0.628534381,0.63290042,0.63288953,0.862285771,0.022830631,0.729746927,0.85546576,0.867766752,0.333644999,0.168340945,0.002699084,0.590910176,0.595482325,0.725230282,0.223913829,0.315777972,0.061413651,0.933949021,0.079662047,0.266761098,0.177406943,0.019520495,0.180410039,0.438440945,0.470578196,9.19E-05,0.206135203,0.011346182,0.259861923,0.649214705,0.037303833,0.117643009,0.198977863,0.548330592,0.12233453,0.000267409,0.003227336,0.001952125,0.309892607,4.77E-05,0.005330893,0.006949833,0.166959971,0.68271179,0.869875371,0.521776714,0.282197998,0.053722782,0.242387233,0.216450594,0.693635762,0.716944346,0.776374155,0.400457314,0.22946942,0.093231846,0.774583836,0.057313306,0.582224329,0.00015222,0.720961374,0.502879103,0.101717534,0.561910979,0.733660059,0.027799194,0.284935332,0.389054746,0.000260808,0.000257364,1.02E-19,9.07E-09,1.80E-07,8.83E-10,3.16E-05,0.000731357,0.043413043,0.101267303,0.119396428,0.001672374,0.072526675,0.513710527,0.160754064,0.820983495
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus|t__SGB5065,0.792795878,0.862350875,4.40E-06,0.90050285,0.546771726,0.702736508,0.5243267,0.214930637,0.412403128,0.424520779,0.958122695,0.7624789,0.234372401,0.38485728,0.465643344,0.672063855,0.887832518,0.467365486,0.038882273,0.338776276,0.060775527,0.42526922,0.189369585,0.040101328,0.132687172,0.95208124,0.19791935,0.658847862,0.430480599,0.20415799,0.200978727,0.042401229,0.143753968,0.366304997,0.143361623,0.87747701,0.225729139,0.054946184,0.44272082,0.849857006,0.533834122,0.647538743,0.645227948,0.254396111,0.409255298,0.564484055,0.307892478,0.876575285,0.051214064,0.110786325,0.510412194,0.946311612,0.29528488,0.374151659,0.550100984,0.134985499,0.430057771,0.162868494,0.679928831,0.256605117,0.149435489,0.130811781,0.380293173,0.694719351,0.005192278,0.319329949,0.039955582,0.397500022,0.610576401,0.8022467,0.019049151,0.844003762,0.99388573,0.042182001,0.643003803,0.008313713,0.118693286,0.029881271,0.031219375,0.476698929,0.372777085,0.832008653,0.436975429,0.172463498,0.876281776,0.411148162,0.133836742,0.918596502,0.159467378,0.848336161,0.871898045,0.716151176,0.544876668,0.268100069,0.950082616,0.844560572,0.123855727,0.73320601,0.206613515,0.173884552,0.985994574,0.83809066,0.915860409,0.867496107,0.60405262,0.374708912,0.837361008,0.179820678,0.240214191,3.33E-05,0.002186908,0.973210141,0.032965443,0.005052078,0.017830763,0.88593315,0.068751459,0.177873057,0.564121464,0.168203787,0.011655695,0.014363428,0.320606642
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_SGB1653|t__SGB1653,0.619113785,0.509145334,0.894593921,1,0.453764758,0.852097647,0.618514193,0.334327167,0.746781787,0.227352492,0.763764134,0.551220035,0.23731068,0.706555013,0.000532036,0.817715515,0.918767439,0.062962957,0.025440796,0.894298383,0.000270202,0.056293074,0.860680291,0.224545334,0.586020139,0.125004827,0.230297403,0.255644977,0.062089651,0.000226669,0.989895737,0.000303631,0.364055052,0.511219542,0.791682559,0.335056281,0.965735899,0.492470277,0.742286705,0.838225555,0.135599807,0.795010487,0.860184478,0.08000312,0.42193991,0.362765916,0.120719494,0.447490081,0.818557035,0.132288875,0.780998419,0.506336785,0.811191219,0.420682984,0.152991552,0.922882314,0.141246711,0.521747912,0.132825942,0.180605723,0.216265971,0.739187919,0.574290772,0.550187075,0.401270198,0.002524368,0.012386135,0.720163413,0.505776565,0.107319642,0.479430497,0.035932826,0.001846361,0.18985649,8.48E-05,7.57E-06,0.008986446,0.076940522,6.19E-05,0.284528109,0.003467321,0.129869749,0.525610262,0.792771177,0.031415811,0.003883108,0.173434179,0.254994796,0.045466513,0.07617611,0.532837824,0.762446829,0.71309445,0.680799944,0.428487295,0.062471346,0.336296075,0.003390502,0.016826666,0.719640492,0.560600512,0.133338591,0.934434769,0.70908625,0.049756969,0.367706183,0.011662059,1.10E-06,0.131432946,4.50E-22,7.23E-10,2.56E-05,1.48E-09,0.000464557,2.82E-05,0.728433135,0.001035083,0.000422652,0.173304716,5.15E-05,0.278791954,0.226689675,0.652065212
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroidaceae_unclassified|s__Bacteroidaceae_bacterium|t__SGB1475,0.497964373,0.564000344,0.490696963,0.09158784,0.840744634,0.648247277,0.895926671,0.262829984,0.9553704,0.024524243,0.526513365,0.447795654,0.227434124,0.730907473,0.938472235,0.880570477,0.729542017,0.058728654,0.271839277,0.892043539,0.806320369,0.148196778,0.161405638,0.822253703,0.25141421,0.610200103,0.884717992,0.282734191,0.650911118,0.014409005,0.960899416,0.413746155,0.789662022,0.724449277,0.380479528,0.722471674,0.106172725,0.497876854,0.595578551,0.03671133,0.99992665,0.731310697,0.426314999,0.090433636,0.873576628,0.044720882,0.623719229,0.211476708,0.713285149,0.923495365,0.411053973,0.299376936,0.043904959,0.804889404,0.731891212,0.926739714,0.593509927,0.484745576,0.715821938,0.964015403,0.955680793,0.405392445,0.814875364,0.662809947,0.88017998,0.412939272,0.424209275,0.27735159,0.227562818,0.20862012,0.22788172,0.69696239,0.135212949,0.215157759,0.001474078,0.001491246,0.869819914,0.88994437,0.5157929,0.571354445,0.082143147,0.238064224,0.666390427,0.746038602,0.749519855,0.378843722,0.310347483,0.033432771,0.581906945,0.368827901,0.834209957,0.582188762,0.528393558,0.823220657,0.524052113,0.780223529,0.736352915,0.773690952,0.936928332,0.702106038,0.354823081,0.732406738,0.810932373,0.518042262,0.072325979,0.901602594,0.557805058,0.730560555,0.753578256,0.001509575,0.420478908,0.005619329,0.157952261,0.074030032,0.014278756,0.317266187,0.285771691,0.049184894,0.304635142,0.577424438,0.465641925,0.764667041,0.490291144
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_SGB1680|t__SGB1680,0.925931319,0.684593477,0.024359108,0.452976674,0.674110406,0.745844824,0.660829349,0.018725498,0.028322642,0.671587529,0.837168412,0.861980686,0.186873811,0.91547491,0.000519365,0.929801898,0.116821421,0.090630005,0.015079026,0.316171776,0.99812772,0.325850881,0.575082064,0.132108911,0.825236767,0.247125467,0.691305793,0.067114657,0.05101857,0.005084402,0.89568801,0.063513482,0.447816003,0.138998727,0.171763881,0.313997352,0.903133006,0.013718954,0.321121755,0.581751959,0.972100247,0.900944722,0.33996854,0.855394864,0.793948067,0.788160736,0.946230272,0.255450757,0.187986835,0.027481208,0.525164422,0.942432903,0.826058567,0.332595216,0.871030867,0.351210572,0.298816404,0.95619568,0.810429951,0.781326366,0.839148466,0.644762789,0.908202641,0.92968164,0.29880203,0.469140738,0.014495412,0.844727736,0.140109253,0.708275312,0.354931785,0.679672016,0.126902501,0.729106646,0.008360921,0.057986569,0.027859473,0.588693987,0.001355187,0.752755937,0.625251037,0.298662868,0.498221203,0.635105502,0.116618805,0.073285522,0.060261725,0.751576824,0.993034384,0.223776204,0.753959386,0.164782949,0.974304717,0.207050027,0.574676506,0.055940433,0.786724606,0.043658848,0.545014911,0.554482461,0.727141921,0.004692551,0.993729228,0.356139989,0.099538088,0.474858045,0.351792887,0.100247646,0.021223274,5.70E-12,0.008228667,0.004218335,2.73E-07,0.013718225,0.023295072,0.312819158,0.129674025,0.21185647,0.000357957,0.000346174,0.538522271,0.581231762,0.609395436
