"","x"
"1",37
"2",56
"3",58
"4",69
"5",60
"6",27
"7",59
"8",30
"9",57
"10",45
"11",67
"12",2
"13",20
"14",11
"15",29
"16",12
"17",3
"18",10
"19",32
"20",21
"21",5
"22",24
"23",51
"24",23
"25",17
"26",62
"27",33
"28",35
"29",44
"30",61
"31",9
"32",64
"33",8
"34",26
"35",7
"36",15
"37",41
"38",16
"39",49
"40",55
"41",46
"42",31
"43",50
"44",18
"45",65
"46",52
"47",54
"48",53
"49",68
"50",39
"51",40
"52",43
"53",34
"54",36
"55",14
"56",4
"57",47
"58",22
"59",42
"60",38
"61",6
"62",63
"63",13
"64",66
"65",48
"66",19
"67",28
"68",1
"69",25
