Phenotype:,Hemoglobin A1c,Mean arterial pressure,Body mass index,Heart rate,Oxygen saturation,Hemoglobin total,Poor (N=223),Fair (N=969),Very good (N=79),Excellent (N=132),Cough (N=413),Diarrhea (N=85),Bristol stool scale,Diabetes (N=40),Allergies (N=124),Heart disease (N=59),Asthma (N=62),Stomach illness (N=261),Intestinal illness (N=103),Arthritis (N=43),Painkillers (N=1184),Antibiotics (N=242),Anti-diarrheal (N=60),Anti-parasitic (N=49),Anti-fungal (N=41),Vitamins (N=335),Anti-hypertensive (N=82),Reserved (N=1666),Nervous (N=950),Openness (N=1550),Cognitive impairment (N=100),Dementia (N=185),Alcohol daily frequency,Cigarette usage (N=82),Cigarette frequency,Mild anxiety (N=395),Moderate anxiety (N=123),Severe anxiety (N=59),Mild depression (N=469),Moderate depression (N=138),Severe depression (N=89),Cat (N=960),Dog (N=1384),Parakeet (N=157),No pets (N=220),Cow (N=535),Goat (N=63),Pig (N=269),Chicken (N=1664),Duck (N=636),Turkey (N=413),Sheep (N=51),Geese (N=82),Horse (N=468),Rabbit (N=176),No farm animals (N=171),Mice (N=820),Bat (N=546),Lizard (N=534),Snake (N=546),Bird (N=660),Possum (N=588),Rat (N=590),Squirrel (N=51),No wild animals (N=591),Beans,Tortillas,Rice,Bread,Milk,Yogurt,Cream/butter,Cheese,Eggs,Vegetables,Fruits,Natural juice,Chicken,Beef/pork,Ham/sausages/hotdog,Fish,Diet diversity score,Number of partners,Living with partner (N=1232),Grades 1-3 (N=920),Grades 4-6 (N=528),Grades >6 (N=129),Friend ties (same building),Friend ties (different building),Betweeness (friendship),Transitivity (friendship),Family ties (same building),Family ties (different building),Transitivity (familial),Betweeness (familial),Degree (all ties),Clustering coefficient(all ties),Betweeness(all ties),Kin percentage (to third degree),Altruism,Risk taking,Washing hands (N=1603),Distance to village center,Distance to main road,Number of churches,Altitude,Travel,Monthly expenditure,Household size,Household wealth index,TV (N=958),No electronics (N=89),Earth/Sand floor (N=594),Ceramic floor (N=151),Glass windows (N=86),Unfinished windows (N=59),Clay/mud walls (N=1256),Cement walls (N=402),Concrete roof (N=37),Sleeping rooms,Spring(protected) (N=1441),Tube well (N=91),Dug well(protected) (N=93)
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_A|t__SGB1626,-0.133044965,-0.003946821,0.015362198,-0.001791007,0.058228723,0.097706965,0.05037498,-0.066069548,0.061417435,0.167462814,0.001614076,0.850698313,0.071072191,0.191398789,-0.173510891,0.869658162,-0.039053304,0.144398107,0.086813134,-0.027033139,-0.032401914,-0.201151706,0.614976345,-0.69903775,0.58624296,0.200760991,-0.458426855,0.039695175,-0.031037994,-0.106140437,-0.132619314,-0.019537862,0.058151289,0.294684619,0.046273652,0.31872112,0.25937721,0.283730483,0.176453879,0.261428002,-0.188326454,0.039988135,0.049954342,-0.662988187,-0.181150546,0.122395604,0.168852842,0.345037105,0.335504326,0.360682477,0.149639971,-0.424709968,0.250270008,-0.064931562,-0.399848133,-0.288904185,0.498086912,-0.222551941,-0.032928089,-0.029988534,0.306199647,0.028655207,0.444742163,0.370205581,-0.133283813,0.236015194,0.135927598,0.337142847,0.218148291,-0.079177152,-1.35286766,0.182026067,0.145921201,0.069334906,-0.497732394,-0.187070366,-0.407038189,0.334902501,-0.175027891,-0.040195084,0.066434634,0.03240269,0.129155626,-0.681664152,0.171545391,0.563129812,-1.081248452,0.638218056,0.070469995,-0.013294781,0.185960025,0.056535064,0.023458379,-0.314003381,0.011269103,0.011522819,-0.73405914,0.069114659,0.785972665,-1.17E-05,-0.008021734,0.419614503,-0.381278995,-0.003189502,-0.102263472,-0.000419209,0.067601087,-4.09E-05,0.04408301,-0.136814654,-0.383021286,0.154520682,0.258804169,0.289209003,-0.644215246,-0.747460856,-0.164383859,0.180101554,-1.356709391,-0.088314669,0.107877129,-0.191435639,0.223123957
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_B|t__SGB1613,-0.122639077,-0.015548336,-0.014190979,-0.018565163,0.100904451,0.121789341,0.292771714,-0.14824262,-0.21371051,0.104567452,-0.067999994,0.118723669,0.102356691,0.239453809,-1.335767205,0.147876969,0.250225473,-0.57610561,-0.893960008,0.451579402,-0.093265675,-0.319436049,-0.111140182,-1.649289505,0.159706366,-0.222760089,-1.168223651,-0.194242809,0.021177677,-0.227093952,-0.075528518,0.803948206,0.101712754,0.903467381,0.08176913,-0.080086572,0.551621459,0.070896745,-0.099846661,-0.403933114,-0.096376916,-0.131458131,-0.05249287,-0.862057401,0.308937977,-0.030874545,-0.006564096,0.326104789,0.617190592,0.833429171,0.291854555,-0.4447865,0.301640563,0.109155195,-0.031629179,-0.969561155,0.136810441,0.130387762,0.122160792,-0.061080758,0.207847877,0.029450993,0.294040442,0.24815624,-0.24938515,0.99977951,1.338873785,0.032495759,0.038360179,-0.066204585,-3.206070192,-0.152081214,-0.761846147,0.336327764,-1.551170278,-1.095635756,-0.999649959,-0.785114746,-1.764168599,-0.567973385,-1.97606563,-0.136720966,0.31763019,0.210281242,0.215043249,-0.241746397,-1.233072345,0.640695464,0.029574835,-0.072185252,0.999026693,0.104453345,0.044067177,0.265403224,0.005309378,0.003479194,0.645321081,-0.130017007,2.826646269,-4.36E-06,-0.0159147,-0.289370235,-0.524150277,0.004144996,-0.318517924,-0.000285281,0.132992149,-5.63E-05,0.107662665,-0.685572537,-0.958502193,1.736171355,1.359684989,-1.198834555,-2.244057188,-0.398261221,0.355005184,-0.838930292,-2.627138041,-0.391120405,0.530579958,-1.23904629,-0.236958519
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_D|t__SGB1636_group,-0.099920653,-0.00802911,-0.004156622,-0.002400387,0.21264731,-0.106316918,-0.150275291,-0.539493618,-0.468240987,0.680907687,0.259323543,0.163786908,0.038026267,0.402375037,-1.640036226,-0.697527709,0.663202759,-0.421087766,-0.971134648,-0.383517434,-0.53958232,-0.155738069,-0.436203614,-1.939962303,-0.426575553,-0.344837223,-1.131019376,-0.07644881,-0.090885675,-0.29351347,-0.441965126,1.007766918,-0.041194045,0.414192845,-0.207187053,-0.520459158,0.445769479,-1.237531766,-0.097826951,-0.256718258,-0.093780716,0.187870123,-0.139612868,-0.712189366,-0.047862399,0.015853157,0.793352155,0.816717669,0.542644077,0.761545182,0.618978563,0.128070969,0.229468091,0.520730759,0.100703847,-0.570721654,-0.0135132,0.451547154,0.230439394,0.344327911,0.412267611,0.389846667,0.368331624,0.684811061,-0.734926566,1.437604652,6.30712195,-0.722038494,0.141657199,-0.862167101,-2.666442237,-0.832810984,-0.897690308,0.076818452,-2.042501756,-0.938496879,-1.120863552,-1.197758847,-1.571115781,-0.593368918,-1.049501954,-0.255513216,0.057432387,0.201758002,0.615401503,-0.613293219,-0.762592768,1.179637989,0.11289189,-0.075879667,0.266765135,0.146066552,-0.029197485,0.106486046,-0.017110172,-0.012178141,0.567770425,-0.195483586,2.828243658,-0.000429802,0.005186908,-0.478754483,0.018964736,0.004710002,-0.181098849,-0.001638077,-0.447345235,-0.000125816,0.21474934,-0.797073344,-1.436559541,1.86040659,1.37819321,-1.5685355,-2.981653919,-0.258265087,0.703403899,-1.04692254,-1.21942362,-0.352827673,0.077480586,-0.368258692,0.05250835
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_C|t__SGB1644,-0.194643692,-0.010810199,0.022111593,0.00169901,0.13337864,0.122452239,0.084393797,-0.208053747,-0.222832682,0.447787262,0.080429064,0.272752195,0.023492649,-0.33869436,-1.201887044,-0.454534846,0.046551512,-0.144345355,-0.621508921,0.542829945,-0.472112447,-0.526070529,0.777824002,-0.324093861,0.002179358,0.049243645,-0.599200502,-0.060350048,-0.088335329,-0.284288269,0.184831258,0.634999372,-0.03879792,0.679129355,0.032794619,0.050230392,-0.335945827,0.24655804,0.024266088,-0.271208409,-0.762864465,0.243114945,-0.337233613,-1.171413156,-0.005382272,-0.426076145,0.362262642,0.553575054,0.627550411,0.180518898,0.059385165,-0.599040549,0.85674229,0.045893241,-0.137321461,-0.666515677,0.11541119,0.192657651,0.229243048,-0.190206678,0.212148351,0.194741967,0.026243226,0.206894354,-0.148044908,0.94711185,4.228527552,0.148859446,-0.154533573,-0.34240674,-2.871183557,-0.87295666,-1.129426959,0.098043457,-1.272639298,-0.956570834,-1.172653231,-0.735947807,-1.595319082,-0.237228566,-1.118645936,-0.110842528,0.152343555,-0.528693236,0.183428767,-0.222702975,-1.102371948,-0.162331865,0.125342351,-0.05974036,0.631757571,0.167776091,0.029617,0.181048373,-0.044692007,-0.005063986,0.551667491,-0.14974758,2.085400145,-0.001027799,-0.008737019,-0.17776297,-0.061657479,0.005544259,-0.208380633,-0.000657338,-0.558700327,-0.000135539,0.072580755,-0.615678424,-0.919250995,1.3187497,1.060109057,-0.906673153,-2.314047924,-0.04562155,0.906807243,-1.11150533,-2.357655704,-0.51150871,0.546142843,-0.447424552,0.732080137
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_hominis|t__SGB1617_group,-0.118264549,0.001771926,0.000750238,-0.013238524,0.112018622,0.220387032,-0.031383605,-0.436724634,-0.741358532,-0.113603959,0.066819887,-0.124398652,-0.011325128,0.088447187,-1.980535602,-0.006640002,0.515371909,-0.555900391,-1.488925916,-0.539856965,-0.316240391,-0.499890818,-0.343711377,-1.263098479,1.291240202,0.29222427,-1.000045706,-0.143249975,-0.19732652,-0.329233386,-0.495350566,1.594457082,-0.013435826,0.429010208,0.038991156,0.228471093,0.010403898,-0.038664036,0.129211833,0.320363111,-0.360182624,0.362281782,0.064487889,-0.674750293,-0.434997926,0.148164133,0.457544628,0.573299026,0.78441983,0.294486678,0.026177281,-0.365138691,-0.092199947,0.084092504,-0.055448862,-0.905758076,0.155658837,0.36101074,0.285763976,0.339440637,0.300127867,0.476774408,0.380578292,0.485170049,-0.632961574,2.832588687,3.36624043,-0.238019135,-0.330159443,-0.647234293,-2.163591994,-0.760975412,-0.858395792,0.531336638,-1.751617706,-1.582938431,-0.64970554,-1.239552101,-1.743186747,-0.748054166,-1.233993653,-0.137415414,0.229305396,-0.415575467,0.421276063,-0.453708674,-0.871191578,0.371639014,0.281106353,-0.038520156,0.822224688,0.160108967,0.012714976,0.0310918,-0.057833289,-0.015874183,0.588784384,-0.207820686,2.882777697,-5.37E-05,0.021001865,-0.295085023,-0.132060264,0.014832443,-0.274332806,-0.001127466,-0.705346958,-0.000127027,0.18525932,-0.863391419,-1.215414823,1.911434274,1.391456484,-1.878552084,-1.640026483,0.795155895,1.06347384,-1.304810132,-1.462671602,-0.495144348,0.680546922,-1.270117857,-0.048290911
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1267|s__GGB1267_SGB1701|t__SGB1701,0.011625962,-0.006179811,-0.051417034,-0.021480297,0.185433472,0.151175951,-0.094791167,-0.254427489,-1.227227183,-0.325740405,0.272999013,-1.084635525,0.027430191,0.224793011,-1.642566094,-1.011191031,-0.371300247,-1.127096132,-1.50749822,0.061082239,-0.650320656,-0.721727635,0.409999938,-0.723223424,1.265974003,-0.588629214,-0.490941327,-0.166617948,-0.097363964,-0.319579433,-0.073988005,1.074318387,-0.026628344,0.975180726,0.124727268,0.066506467,0.029978987,-0.708020276,0.378362224,0.342445087,0.468305006,0.175346682,0.07866729,-1.278596669,0.207328759,0.082266989,0.180448569,0.477636752,0.704947581,0.997538534,0.243724682,-0.579674149,-0.316887705,-0.487094687,-0.584481436,-1.033929928,-0.034144989,0.646273563,0.437129641,0.532355038,0.802546456,0.482314275,0.306354441,0.292489083,-1.388467043,1.245806882,5.47839105,0.680908585,-0.245380594,-0.85302714,-1.83883501,-0.649387593,-0.3145353,0.766783242,-1.668848593,-1.40040236,-1.307467715,-0.641529691,-2.859058947,-1.75247307,-2.625039961,-0.178021231,-0.09219439,-0.212654278,0.252808787,-0.436835201,-1.243796832,-1.297233554,0.164032326,0.025456984,-0.359508307,0.054123325,-0.064303224,0.535777952,-0.089445143,-0.005201452,1.323993486,-0.057427312,8.454109236,-0.000353026,-0.010586637,-0.801742562,-0.294542343,-0.024151279,-0.60717004,-0.002690648,-0.521891108,-0.000172834,0.264443176,-1.101956082,-1.709042609,3.599777061,1.972235727,-2.398254524,-2.556316045,1.761529654,0.599153635,-0.65464525,-3.469103306,-0.308948149,0.277233506,-1.080507762,0.20757913
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus|t__SGB5065,-0.041984874,0.002616833,-0.123959222,0.001776632,0.071395038,0.051774176,0.32760124,-0.39844276,-0.587060647,0.477541037,-0.021768324,-0.311522976,0.099292685,-0.849880645,-0.41401825,-0.35236442,-0.126703854,-0.304163563,-1.139994364,-0.867239,-0.489687891,-0.329833489,-0.972343906,-1.625057196,2.066879997,0.026301845,-0.879364886,-0.063152555,-0.071575445,-0.139817873,-0.748680712,0.890594881,-0.140162802,0.654143002,0.181919518,0.060837973,0.660945616,-1.387465276,0.258961646,0.115088387,0.47864371,0.13572178,0.157144914,-0.557383433,-0.369235228,-0.192148934,0.768052813,-0.070867089,0.773165339,0.448611383,0.234971318,-0.066618164,0.683206986,-0.294443739,0.297324121,-0.684440193,0.225952529,0.423998666,-0.14430337,0.366806908,0.416753808,0.430749442,0.274555189,0.134469257,-0.812427826,0.813578085,3.656188201,0.425160361,-0.218664537,-0.101313339,-2.131096168,0.093954557,-0.004320443,0.790140323,-0.210318205,-1.015831621,-0.566051406,-1.01475057,-1.275232107,-0.418241002,-0.786466047,-0.026031252,0.13466852,-1.219292077,-0.055532883,0.28260505,-0.811562954,0.111062461,0.147424235,-0.010463734,-0.135138082,0.05487772,0.038175377,0.400379071,0.003409002,0.002894573,0.875555176,0.029709554,2.075340775,0.000940845,-0.000274812,-0.097860657,0.043852564,0.005159981,0.07818561,-0.001013662,-0.112106613,-5.60E-05,0.075210419,-0.40395885,-0.750472883,0.02649701,0.579020517,-1.324368549,-1.465212183,-0.127533852,0.50116847,-0.446009175,-0.613486813,-0.195191179,0.738493359,-1.427672291,-0.641858902
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_SGB1653|t__SGB1653,0.084196029,0.010047823,0.005258913,-3.24E-07,0.096410433,-0.029204635,0.290463038,-0.353469143,-0.276899511,0.759165872,0.127839338,0.636265561,0.108148927,0.44059255,-1.842920269,-0.221767681,0.102482549,-0.773403178,-1.352050917,-0.153904588,-0.996649038,-0.791075668,0.17067273,-1.123471485,-0.923002192,-0.585261589,-0.912241003,-0.162021185,-0.169222623,-0.407674465,-0.011181779,1.672329684,-0.101402058,0.539521917,0.042638171,-0.3638255,-0.032417041,-0.61544023,-0.131992142,-0.136529567,-1.151474788,0.088781113,-0.071145484,-0.899955283,0.397185427,-0.321487437,1.228573088,0.343789267,0.12360011,0.477351783,0.118153493,0.632071415,0.196598308,-0.301730522,-0.710908202,-0.060777148,0.432870053,0.23622073,0.508501107,0.471250631,0.406262471,0.122889433,0.204555806,0.220036101,-0.309133768,2.426335491,4.822825522,-0.21618829,-0.308427175,-0.604187747,-0.811561717,-0.894216259,-1.221504215,0.590621633,-1.596559905,-1.852254785,-0.994527903,-0.93208604,-2.50969175,-0.663936752,-2.51610422,-0.171981726,0.123120427,0.302893881,0.665638639,-0.94991508,-0.821260292,-1.125427673,0.223361401,-0.086724886,0.524416959,0.050785601,-0.026957901,-0.181654898,-0.040833827,-0.024891168,0.644127951,-0.227089714,4.980001766,-0.000316053,-0.008306284,-0.661848229,-0.042203516,0.026220203,-0.549350864,-0.002364342,-1.207562743,-0.000202189,0.104687303,-1.036903727,-1.629443907,2.608909021,1.735860609,-1.814011251,-2.794867759,0.324120503,1.007595675,-1.230562604,-1.45351272,-0.577815447,0.386980249,-0.844651402,-0.351299953
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroidaceae_unclassified|s__Bacteroidaceae_bacterium|t__SGB1475,-0.118450365,0.009485047,0.026033617,-0.022749413,0.030515739,-0.071596105,0.088160657,-0.428945269,0.055560823,-1.407208396,-0.269610548,-0.837707076,0.116751167,0.431701828,0.059215959,-0.157146266,0.347209822,-0.83548068,-0.767193818,0.167348409,-0.092010765,-0.658453726,1.207898064,-0.258371102,-1.909697149,-0.23409638,0.139597489,0.164318176,0.051050376,-0.296449612,0.042246226,0.468475053,-0.035399604,0.322961291,0.13588375,0.157127003,1.004610124,0.64818694,0.218337674,1.195731801,-0.00148074,-0.122778933,-0.304104705,-0.93078737,-0.094737993,-0.688602368,-0.469925202,-0.567868966,0.204493572,0.040308288,-0.33839465,-1.000543739,-1.435892004,0.108746667,-0.210192011,0.061598353,-0.187328393,0.271877232,0.151964933,-0.021354856,-0.024105158,-0.30064894,-0.096915101,0.175873152,-0.067240354,0.805501707,1.865513458,0.625363434,-0.556573221,-0.517134713,-1.386801743,-0.211221175,-0.668922049,0.599138581,-1.39224485,-1.424932025,0.085454954,-0.096802407,-0.519642113,-0.401079078,-1.673647599,-0.14686939,-0.091928572,0.382838102,0.126333336,-0.346062117,-0.666287414,2.065357664,0.074819554,0.050175752,-0.201215289,0.094243356,-0.04708829,-0.109886722,-0.035929668,0.004816646,-0.266458982,0.029985235,0.228293097,0.000356381,0.013385403,-0.186875575,0.122614106,0.038205304,-0.462730423,-0.000333114,-0.3508439,-1.95E-05,0.027266549,-0.380157576,-0.269875308,1.874741379,0.479668063,-1.043365781,-1.800075365,0.89781961,0.388208171,-0.762364866,-1.2069913,-0.103543728,0.290381822,-0.254959612,-0.549489726
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_SGB1680|t__SGB1680,0.018043208,-0.006719918,-0.072726363,-0.010877529,0.059451136,0.051093917,-0.26886937,-0.810307644,-1.607958657,-0.309172738,-0.092984465,0.212292546,0.124941081,0.138385543,-1.92097663,-0.092141438,-1.314973361,-0.739538954,-1.517824814,-1.034220588,-0.001426677,-0.457591715,0.523023776,-1.412920797,-0.416068109,-0.474860948,0.352059557,-0.256757105,-0.183247645,-0.327897658,-0.105817303,0.94346771,-0.090048939,1.151047996,0.196107184,-0.392534498,-0.091530774,-1.993376413,-0.373106155,-0.357111626,0.036180636,0.045862644,0.349080812,-0.119923942,-0.14786648,-0.109974345,-0.070212753,0.510614316,0.62760177,0.697104295,0.262643925,-0.081670215,0.189138837,-0.369460618,-0.101509794,-0.517948382,0.331408885,0.024275198,0.10050264,0.118294461,0.081425019,-0.172597252,0.048222414,0.03796624,-0.388074241,0.704937175,4.914646824,0.127552574,-0.648804611,-0.170219233,-1.07176658,-0.217853133,-0.666293992,0.185798236,-1.143228695,-0.868940862,-0.884519797,-0.338669918,-2.114290765,-0.228635,-0.52839549,-0.12832335,0.136125201,0.538050258,0.520797988,-0.639006099,-1.132661556,0.368426834,-0.001531862,-0.064579785,-0.289669442,-0.210009328,-0.00276641,-0.518480724,0.031374617,-0.026595413,0.212196097,-0.168838943,1.52514725,-0.000518653,0.005410855,-1.217076954,0.004955341,0.057365632,-0.480297019,-0.001824791,-0.517917008,-7.73E-05,0.159293101,-0.778928982,-0.758587029,1.887067378,1.542214769,-1.361969575,-1.641117464,0.88369851,0.518600692,-0.499339853,-3.62182534,-0.536279763,0.243403074,-0.437092384,0.409423856
