"","Df","SumOfSqs","R2","F","Pr(>F)"
"`Hb A1c`",1,1.10585202252314,0.00328479836475275,4.68559132995872,0.001
"MAP",1,0.463890793339705,0.00137793094225157,1.96554569241628,0.011
"BMI",1,2.38382204644723,0.00708085223026984,10.1004616219019,0.001
"`Heart rate`",1,0.824121813630575,0.00244795318960872,3.4918758985192,0.001
"`Oxygen saturation`",1,0.563175477939586,0.00167284397127924,2.38622354793754,0.005
"`Hb total`",1,0.996477890017307,0.00295991586304,4.22216360495279,0.001
"Poor",1,0.546308085867707,0.00162274144330363,2.31475493871921,0.004
"Fair",1,0.223202317749516,0.000662995223067732,0.945727659373103,0.513
"`Very good`",1,0.27269122819002,0.000809995986983195,1.15541648298266,0.225
"Excellent",1,0.22768663665807,0.000676315344673368,0.964728109135583,0.457
"`Cough (N=413)`",1,0.676158035627227,0.0020084448592635,2.86494048470265,0.001
"`Diarrhea (N=85)`",1,0.394520935856267,0.00117187625339291,1.67161956472041,0.03
"Diabetes",1,0.221985403093802,0.000659380526716214,0.94057148599368,0.505
"Allergies",1,0.549018689889801,0.00163079296147959,2.32624000403192,0.004
"`Heart disease`",1,0.310614101752636,0.000922641251022217,1.31609900103484,0.125
"Asthma",1,0.395763640958194,0.00117556755711487,1.67688501446657,0.033
"`Stomach illness`",1,0.670478519651823,0.00199157455075149,2.84087588087618,0.001
"`Intestinal illness`",1,0.494830947556817,0.00146983489134024,2.09664182046469,0.008
"Arthritis",1,0.413740506128573,0.00122896563941915,1.75305455782914,0.032
"`Pain killers`",1,0.566930366752327,0.00168399740987746,2.40213333885676,0.002
"Antibiotics",1,0.43324842263257,0.00128691152270817,1.83571129903411,0.017
"`Anti-diarrheal`",1,0.389686233155119,0.00115751535952705,1.65113450831319,0.037
"`Anti-parasitic`",1,0.223278231445406,0.000663220715429315,0.946049312314039,0.486
"`Anti-fungal`",1,0.293035790891643,0.000870427025614771,1.24161816699191,0.183
"Vitamins",1,0.21136492223958,0.000627833685518385,0.895571583658653,0.573
"`Anti-hypertensive`",1,0.559115389507898,0.00166078397448986,2.36902059965249,0.001
"`Reserved (N=1666)`",1,0.281222405729075,0.000835336807869668,1.19156382521036,0.201
"`Nervous (N=950)`",1,0.337141068175475,0.00100143636479231,1.4284960680469,0.086
"`Openess (N=1550)`",1,0.410824841622988,0.00122030501412295,1.74070063338881,0.027
"`Cognitive impairment`",1,0.164970520607001,0.000490024782055274,0.698994463374293,0.876
"Dementia",1,0.500463378971379,0.00148656534091515,2.12050692290619,0.009
"`Alcohol daily frequency`",1,0.466977256399105,0.00138709890379063,1.97862330520426,0.014
"`Cigarette usage`",1,0.322005259595326,0.000956477294084231,1.36436432888957,0.097
"`Cigarette frequency`",1,0.314089321904188,0.000932963968020942,1.33082381147978,0.138
"`mild anxiety`",1,0.206820189302693,0.00061433411142052,0.876315154396563,0.637
"`Moderate anxiety`",1,0.280865746981267,0.000834277396621405,1.19005263103388,0.194
