"","Df","SumOfSqs","R2","F","Pr(>F)"
"`Hb A1c`",1,0.425375922226681,0.0115151352959119,19.9209430143655,0.001
"MAP",1,0.15910453659336,0.00430703800881702,7.45108559556491,0.002
"BMI",1,0.506480579902353,0.0137106782438419,23.7191863547484,0.001
"`Heart rate`",1,0.0207283302907804,0.00056112608938286,0.970736388519742,0.354
"`Oxygen saturation`",1,0.551172648474672,0.0149205145071887,25.8121777647061,0.001
"`Hb total`",1,0.0519518813463582,0.00140636296349111,2.43297848729288,0.08
"Poor",1,0.326184567978554,0.00882997658177286,15.2756746476203,0.001
"Fair",1,0.0458745797545665,0.00124184742227942,2.14837004481813,0.116
"`Very good`",1,0.0236640940014836,0.000640598656021368,1.1082222651966,0.333
"Excellent",1,0.00785441986169078,0.000212623006268957,0.367833349985104,0.698
"`Cough (N=413)`",1,0.428363089584486,0.0115959993845435,20.0608361949615,0.001
"`Diarrhea (N=85)`",1,0.0156588886628382,0.000423893812777005,0.733327422689577,0.474
"Diabetes",1,0.00734525756361348,0.000198839732595999,0.343988575057631,0.749
"Allergies",1,0.137344123633806,0.00371797293430006,6.43201534761293,0.003
"`Heart disease`",1,0.0272736614660465,0.000738311421465608,1.27726330398334,0.235
"Asthma",1,0.107851180825494,0.00291958447607575,5.0508200276361,0.014
"`Stomach illness`",1,0.285211103513949,0.00772080475939422,13.356830613318,0.001
"`Intestinal illness`",1,0.107628397689482,0.00291355362708131,5.04038678512013,0.007
"Arthritis",1,0.034100649192037,0.0009231213348166,1.59698058543482,0.179
"`Pain killers`",1,0.065918577035863,0.00178444828073145,3.08705817161818,0.041
"Antibiotics",1,0.0310620547423532,0.000840865089530413,1.45467900296852,0.227
"`Anti-diarrheal`",1,0.0649902523549537,0.00175931807532808,3.04358344232363,0.036
"`Anti-parasitic`",1,0.025630805605926,0.000693838505833849,1.20032609089671,0.279
"`Anti-fungal`",1,0.0236359248364586,0.000639836102878402,1.10690306422188,0.305
"Vitamins",1,0.00652520515897859,0.000176640510929483,0.305584386273247,0.789
"`Anti-hypertensive`",1,0.104246869759976,0.00282201400393729,4.88202515328972,0.013
"`Reserved (N=1666)`",1,0.0458677203254734,0.00124166173416232,2.14804880826257,0.112
"`Nervous (N=950)`",1,0.00387785258345685,0.000104975375480494,0.181605202120462,0.881
"`Openess (N=1550)`",1,0.161543935309111,0.0043730737310683,7.56532601272677,0.001
"`Cognitive impairment`",1,0.0469626883296956,0.00127130305623648,2.19932767496589,0.1
"Dementia",1,0.0237968167553295,0.000644191526204009,1.11443785540263,0.346
"`Alcohol daily frequency`",1,0.0382688386359522,0.00103595627181639,1.79218266445862,0.141
"`Cigarette usage`",1,0.0152943968067487,0.000414026839077231,0.716257764735385,0.493
"`Cigarette frequency`",1,0.0286875412469829,0.000776585842087284,1.34347725045629,0.237
"`mild anxiety`",1,0.00955338208113554,0.000258614748625084,0.447398101511128,0.653
"`Moderate anxiety`",1,0.139117119937108,0.00376596881569551,6.51504721772414,0.003
"`Severe anxiety`",1,0.00942727041288194,0.000255200843778915,0.441492117590891,0.685
"gad7_score",1,0.0333878130140608,0.000903824509104771,1.56359748089587,0.207
"`Mild depression`",1,0.0118237642391348,0.00032007510958283,0.5537232394117,0.581
"`Moderate depression`",1,0.0323350774628102,0.000875326440290694,1.51429641840065,0.2
"`Severe depression`",1,0.0747447128191476,0.00202337611461682,3.50039832273789,0.042
"phq9_score",1,0.0127061885833317,0.000343962770310414,0.595048392427457,0.569
"Cat",1,0.038714452647481,0.00104801926213716,1.81305138519767,0.14
"Dog",1,0.111343767311948,0.00301413050894397,5.21438268535588,0.01
"Parakeet",1,0.0179983925243024,0.000487225332222322,0.842889625604486,0.425
"`No pets`",1,0.0190205455758701,0.000514895517738039,0.890758467323716,0.394
"Cow",1,0.00991147126684844,0.000268308398890718,0.464167913552454,0.659
"Goat",1,0.0193071721461724,0.000522654639879127,0.904181586205261,0.378
"Pig",1,0.055089736608112,0.00149130624774881,2.57992859093183,0.075
"`Chicken(animal)`",1,0.0159574470747899,0.000431975935736293,0.747309326225198,0.451
"Duck",1,0.12314080152799,0.00333348202366331,5.76685412080083,0.009
"Turkey",1,0.145477494324827,0.00393814727662921,6.81291235090925,0.001
"Sheep",1,0.0122197554058312,0.00033079478510331,0.572268053666015,0.599
"Geese",1,0.01147829511262,0.000310723090522714,0.537544442204518,0.603
"Horse",1,0.0592826227979835,0.00160480973780061,2.77628725274071,0.059
"Rabbit",1,0.0147992762443616,0.000400623682091215,0.693070583719301,0.489
"`No farm animals`",1,0.0168078472987103,0.000454996687787463,0.787134745377849,0.44
"Mice",1,0.00969627765744718,0.000262483002112029,0.454090099068978,0.683
"Bat",1,0.0500989898546162,0.00135620428007441,2.34620501495909,0.087
"Lizard",1,0.0976471190779442,0.00264335550905806,4.57294969702609,0.018
"Snake",1,0.192045804018571,0.00519877430934506,8.9937707286668,0.001
"Bird",1,0.155300632231392,0.00420406444803935,7.27294349097612,0.002
"Possum",1,0.0283314411969151,0.000766946038701265,1.32680059238951,0.226
"Rat",1,0.0139174674598488,0.000376752684866841,0.651774258215278,0.531
"Squirrel",1,0.0291105930075322,0.000788038061184214,1.36328934976344,0.226
"`No wild animals`",1,0.0249090576706914,0.000674300434472719,1.16652563643449,0.283
"Beans",1,0.0470228688460299,0.00127293217239364,2.20214601181532,0.111
"Tortillas",1,0.0253863806591674,0.000687221802385079,1.1888793324385,0.291
"Rice",1,0.0600125785054084,0.00162456999758923,2.81047208853138,0.049
"Bread",1,0.0785740069970222,0.00212703699019072,3.67972946753652,0.017
"Milk",1,0.0114376963061282,0.000309624060875812,0.535643143921484,0.6
"Yogurt",1,0.0772081553846311,0.00209006271569842,3.6157647466513,0.035
"`Cream/butter`",1,0.157282354958793,0.00425771065632859,7.36575030833467,0.003
"Cheese",1,0.0336398908284758,0.000910648379442547,1.57540263373542,0.189
"Eggs",1,0.00276016841933124,7.47191157922785e-05,0.129262506217378,0.906
"Vegetables",1,0.0236857699630759,0.000641185434955864,1.10923738047017,0.316
"Fruits",1,0.0547468339175703,0.00148202370337194,2.56386998347234,0.072
"`Natural juice`",1,0.0531077395919164,0.00143765261432707,2.48710892824947,0.078
"Chicken",1,0.0518567537174794,0.00140378781182012,2.428523528808,0.075
